epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1071,2.01478,1.25226,1.25427,0.69632,0.59299,0.66872,0.33609,1.80555,0.98075,1.12866,0.0700486,0.00332793,0.00332793
2,94.6911,1.84565,0.98474,1.15,0.69321,0.61335,0.67505,0.34325,1.76347,0.95484,1.11236,0.0400421,0.00665476,0.00665476
3,140.557,1.84792,0.96557,1.13709,0.73161,0.6237,0.70048,0.34701,1.82411,0.94854,1.10988,0.0100096,0.00995559,0.00995559
4,184.943,1.8061,0.94401,1.12315,0.74323,0.65192,0.7263,0.38674,1.69971,0.89533,1.08274,0.00991232,0.00991232,0.00991232
5,229.277,1.74651,0.91323,1.10196,0.74106,0.66511,0.73543,0.39244,1.67501,0.89471,1.06609,0.00984449,0.00984449,0.00984449
6,277.473,1.71091,0.88293,1.0845,0.6978,0.60597,0.67714,0.34934,1.75587,0.94447,1.08324,0.00975773,0.00975773,0.00975773
7,322.27,1.68323,0.86729,1.07806,0.77874,0.6903,0.76575,0.41944,1.61671,0.84325,1.04694,0.00965239,0.00965239,0.00965239
8,368.436,1.66898,0.84685,1.06255,0.76262,0.6759,0.75101,0.41092,1.63085,0.84894,1.04687,0.00952889,0.00952889,0.00952889
9,415.978,1.64632,0.83015,1.05834,0.78016,0.68866,0.76933,0.43041,1.58828,0.81471,1.03443,0.00938772,0.00938772,0.00938772
10,461.237,1.62967,0.82166,1.05195,0.79561,0.69407,0.77454,0.43343,1.59975,0.80532,1.03595,0.00922942,0.00922942,0.00922942
11,509.317,1.62222,0.81243,1.04784,0.79086,0.7013,0.77821,0.44057,1.5698,0.7999,1.0251,0.00905463,0.00905463,0.00905463
12,559.742,1.6002,0.80097,1.04261,0.78236,0.70472,0.77793,0.44008,1.56054,0.80276,1.02625,0.00886404,0.00886404,0.00886404
13,604.287,1.59345,0.79087,1.03684,0.78418,0.70149,0.77745,0.44022,1.56068,0.79341,1.01907,0.00865839,0.00865839,0.00865839
14,650.707,1.57927,0.78312,1.03076,0.80679,0.711,0.79226,0.45191,1.54432,0.77965,1.01805,0.00843851,0.00843851,0.00843851
15,696.745,1.56899,0.77771,1.02902,0.80847,0.71841,0.79257,0.45603,1.53627,0.7679,1.01335,0.00820525,0.00820525,0.00820525
16,742.921,1.55682,0.76765,1.02465,0.79458,0.71222,0.79176,0.45399,1.54278,0.76379,1.01557,0.00795954,0.00795954,0.00795954
17,786.383,1.543,0.7594,1.02207,0.8009,0.71718,0.79233,0.45426,1.53749,0.76977,1.01437,0.00770234,0.00770234,0.00770234
18,829.648,1.5422,0.75872,1.01706,0.80866,0.7301,0.80423,0.46458,1.51524,0.75154,1.0063,0.00743468,0.00743468,0.00743468
19,872.409,1.54001,0.75463,1.01584,0.81552,0.72225,0.80277,0.46143,1.53259,0.75754,1.01193,0.00715761,0.00715761,0.00715761
20,915.266,1.53547,0.74934,1.01284,0.79864,0.71448,0.79256,0.45604,1.53187,0.76871,1.00905,0.00687222,0.00687222,0.00687222
21,958.022,1.52645,0.74464,1.01103,0.80937,0.72567,0.8021,0.46169,1.52375,0.75291,1.00833,0.00657963,0.00657963,0.00657963
22,1000.97,1.51839,0.73589,1.00791,0.80566,0.72294,0.80077,0.46358,1.512,0.75614,1.00324,0.00628101,0.00628101,0.00628101
